"lot_id","plot_id","lot_number","purchased_rights","remaining_rights","status","notes"
"ITA21-L4","ITA21","4","1","3","Partially Occupied",
"ITA21-L3","ITA21","3","1","3","Partially Occupied",
"ITA21-L2","ITA21","2","1","3","Unoccupied",
"ITA21-L1","ITA21","1","1","3","Unoccupied",
"ITA22-L5","ITA22","5","1","3","Unoccupied",
"ITA22-L4","ITA22","4","1","3","Unoccupied",
"ITA22-L3","ITA22","3","1","3","Unoccupied",
"ITA22-L2","ITA22","2","1","3","Partially Occupied",
"ITA22-L1","ITA22","1","1","3","Partially Occupied",
"ITA23-L5","ITA23","5","1","3","Partially Occupied",
"ITA23-L4","ITA23","4","1","3","Partially Occupied",
"ITA23-L3","ITA23","3","1","3","Partially Occupied",
"ITA23-L2","ITA23","2","1","3","Partially Occupied",
"ITA23-L1","ITA23","1","1","3","Unoccupied",
"ITA24-L5","ITA24","5","0","4","Available","Unpurchased"
"ITA24-L4","ITA24","4","1","3","Partially Occupied",
"ITA24-L3","ITA24","3","1","3","Partially Occupied",
"ITA24-L2","ITA24","2","1","3","Partially Occupied",
"ITA24-L1","ITA24","1","1","3","Partially Occupied",
"ITA3-L1","ITA3","1","1","3","Partially Occupied",
"ITA4-L5","ITA4","5","1","3","Partially Occupied",
"ITA4-L4","ITA4","4","2","2","Unoccupied",
"ITA4-L3","ITA4","3","4","0","Unoccupied",
"ITA4-L2","ITA4","2","4","0","Unoccupied",
"ITA4-L1","ITA4","1","0","4","Available","Unpurchased"
"ITA5-L4","ITA5","4","1","3","Unoccupied",
"ITA5-L3","ITA5","3","1","3","Unoccupied",
"ITA5-L2","ITA5","2","1","3","Partially Occupied",
"ITA5-L1","ITA5","1","1","3","Unoccupied",
"ITA6-L5","ITA6","5","1","3","Partially Occupied",
"ITA6-L4","ITA6","4","1","3","Unoccupied",
"ITA6-L3","ITA6","3","1","3","Unoccupied",
"ITA6-L2","ITA6","2","1","3","Partially Occupied",
"ITA6-L1","ITA6","1","1","3","Partially Occupied",
"ITA7-L5","ITA7","5","0","4","Available","Unpurchased"
"ITA7-L4","ITA7","4","0","4","Available","Unpurchased"
"ITA7-L3","ITA7","3","0","4","Available","Unpurchased"
"ITA7-L2","ITA7","2","0","4","Available","Unpurchased"
"ITA7-L1","ITA7","1","0","4","Available","Unpurchased"
"ITA8-L5","ITA8","5","4","0","Unoccupied",
"ITA8-L4","ITA8","4","2","2","Partially Occupied",
"ITA8-L3","ITA8","3","1","3","Partially Occupied",
"ITA8-L2","ITA8","2","1","3","Partially Occupied",
"ITA8-L1","ITA8","1","1","3","Unoccupied",
"ITA9-L5","ITA9","5","1","3","Partially Occupied",
"ITA9-L4","ITA9","4","1","3","Unoccupied",
"ITA9-L3","ITA9","3","1","3","Unoccupied",
"ITA9-L2","ITA9","2","1","3","Unoccupied",
"ITA9-L1","ITA9","1","1","3","Partially Occupied",
"ITB1-L5","ITB1","5","1","3","Unoccupied",
"ITB1-L4","ITB1","4","2","2","Unoccupied",
"ITB1-L3","ITB1","3","1","3","Partially Occupied",
"ITB1-L2","ITB1","2","1","3","Partially Occupied",
"ITB1-L1","ITB1","1","1","0","Fully Occupied",
"ITB10-L4","ITB10","4","1","3","Unoccupied",
"ITB10-L3","ITB10","3","1","3","Unoccupied",
"ITB10-L2","ITB10","2","1","3","Unoccupied",
"ITB10-L1","ITB10","1","1","3","Partially Occupied",
"ITB11-L5","ITB11","5","1","3","Partially Occupied",
"ITB11-L4","ITB11","4","1","3","Unoccupied",
"ITB11-L3","ITB11","3","1","3","Unoccupied",
"ITB11-L2","ITB11","2","1","3","Unoccupied",
"ITB11-L1","ITB11","1","1","3","Unoccupied",
"ITB12-L4","ITB12","4","1","3","Unoccupied",
"ITB12-L3","ITB12","3","1","3","Unoccupied",
"ITB12-L2","ITB12","2","1","3","Partially Occupied",
"ITB12-L1","ITB12","1","1","3","Partially Occupied",
"ITB13-L5","ITB13","5","4","0","Fully Occupied",
"ITB13-L4","ITB13","4","4","0","Unoccupied",
"ITB13-L3","ITB13","3","4","0","Unoccupied",
"ITB13-L2","ITB13","2","4","0","Unoccupied",
"ITB13-L1","ITB13","1","4","0","Fully Occupied",
"ITB14-L4","ITB14","4","0","4","Available","Unpurchased"
"ITB14-L3","ITB14","3","0","4","Available","Unpurchased"
"ITB14-L2","ITB14","2","1","3","Partially Occupied",
"ITB14-L1","ITB14","1","4","0","Fully Occupied",
"ITB15-L4","ITB15","4","1","3","Unoccupied",
"ITB15-L3","ITB15","3","1","3","Partially Occupied",
"ITB15-L2","ITB15","2","1","3","Partially Occupied",
"ITB15-L1","ITB15","1","1","3","Partially Occupied",
"ITB16-L5","ITB16","5","1","3","Unoccupied",
"ITB16-L4","ITB16","4","1","3","Unoccupied",
